date;Zuletzt
28.09.2009;5.736,31
25.09.2009;5.581,41
24.09.2009;5.605,21
23.09.2009;5.702,05
22.09.2009;5.709,38
21.09.2009;5.668,65
18.09.2009;5.703,83
17.09.2009;5.731,14
16.09.2009;5.700,26
15.09.2009;5.628,98
14.09.2009;5.620,24
11.09.2009;5.624,02
10.09.2009;5.594,77
09.09.2009;5.574,26
08.09.2009;5.481,73
07.09.2009;5.463,51
04.09.2009;5.384,43
03.09.2009;5.301,42
02.09.2009;5.319,84
01.09.2009;5.327,29
31.08.2009;5.458,04
28.08.2009;5.517,35
27.08.2009;5.470,33
26.08.2009;5.521,97
25.08.2009;5.557,09
24.08.2009;5.519,75
21.08.2009;5.462,74
20.08.2009;5.311,06
19.08.2009;5.231,98
18.08.2009;5.250,74
17.08.2009;5.201,61
14.08.2009;5.309,11
13.08.2009;5.401,11
12.08.2009;5.350,09
11.08.2009;5.285,81
10.08.2009;5.418,12
07.08.2009;5.458,96
06.08.2009;5.369,98
05.08.2009;5.353,01
04.08.2009;5.417,02
03.08.2009;5.426,85
31.07.2009;5.332,14
30.07.2009;5.360,66
29.07.2009;5.270,32
28.07.2009;5.174,74
27.07.2009;5.251,55
24.07.2009;5.229,36
23.07.2009;5.247,28
22.07.2009;5.121,56
21.07.2009;5.093,97
20.07.2009;5.030,15
17.07.2009;4.978,40
16.07.2009;4.957,19
15.07.2009;4.928,44
14.07.2009;4.781,69
13.07.2009;4.722,34
10.07.2009;4.576,31
09.07.2009;4.630,07
08.07.2009;4.572,65
07.07.2009;4.598,19
06.07.2009;4.651,82
03.07.2009;4.708,21
02.07.2009;4.718,49
01.07.2009;4.905,44
30.06.2009;4.808,64
29.06.2009;4.885,09
26.06.2009;4.776,47
25.06.2009;4.800,56
24.06.2009;4.836,01
23.06.2009;4.707,15
22.06.2009;4.693,40
19.06.2009;4.839,46
18.06.2009;4.837,48
17.06.2009;4.799,98
16.06.2009;4.890,72
15.06.2009;4.889,94
12.06.2009;5.069,24
11.06.2009;5.107,26
10.06.2009;5.051,18
09.06.2009;4.997,86
